,date,author,text,followers,status,favourites,retweets,replies,quotes,media,word_count,char_count,stop_words,#tag,@,numaric,upercase,URLs,emojis_count
0,2022-12-03 19:24:11+00:00,AZspringslinger,I go to the store and buy soup making this be not my normal chicken soupi be make chicken and bean soup with green chilie a little different but I be sure will be delicious I be go to top it with cheese and eat with tortilla I cheat on the broth I be not a chef ,6540,1859,8261,6,16,0,1,55,303,21,0,0,0,3,1,1
1,2022-11-16 09:44:15+00:00,mohd_ridakhan,veggie khichda healthy soup make with ingredient all type of lentil gingergarlic paste bean tortillas jackfruit peas red chili pwdrsalt spice pwdr fennel seed pwdr roasted cumin pwdr boil chickpeas turmeric pwdr water food foodie ,2445,63724,65872,8,3,0,1,37,297,4,4,1,0,0,1,0
2,2022-10-24 21:11:18+00:00,gwenynbright,few thing piss I off as bad as taco soup taco be not a flavor a taco be anything surround by a tortilla avocado taco be slice or mashed avocado inside a tortilla salt taco be sprinkle salt in roll tortillas air taco be roll up tortilla ,695,41572,66467,4,2,0,0,47,260,15,0,0,0,6,0,0
3,2022-08-04 07:57:52+00:00,Gh_Cedi_,delicious vegetable soup with swallow ingredientsbig bowl waterleave kg or ounce of goat meat cup crayfish scotch bonnet pepper ml palm oilbig bowl ugu leave flute pumpkinroasted mackerel season cubessalt to taste tablespoon groundbig ivy ,2907,18214,14048,8,2,0,1,49,296,4,0,0,7,2,1,1
4,2022-08-28 20:23:03+00:00,ronnieb06227051,slow roast beef short rib roast veg and potato no gravy then apple rhubarb crumble ,2523,81802,75429,4,18,0,3,25,233,3,0,9,0,0,1,0
5,2022-05-29 09:43:42+00:00,McMoop,official list of pub sunday lunch elementshorseradish saucegravythick slice of medium rare beefyorkshire puddingchipolatasgenerositypeascarrotsbeef fat roast potatoesparsnipssunday crumbleaccompanye red wine ,12185,69831,57946,5,19,2,1,33,247,2,0,0,0,0,1,0
6,2022-05-24 17:29:04+00:00,NorthernNomadNN,portion of sausage mash and caramelise onion gravy plus rhubarb crumble n cream head out for norwich homelessvulnerable part of team that feed every tuesfrom our own pocket ,868,20688,72841,11,5,0,1,32,218,9,1,0,2,0,1,1
7,2022-03-08 18:40:31+00:00,AscensionCider,fellow cidernaut like all of you we be anger upset and horrify at the invasion and devastation that be happen in ukrainewe have blend and can a medium - dry blend name together all profit will be send to support the people of ukraine and the red cross ,1251,3814,5680,9,2,0,1,47,301,19,0,0,0,0,1,0
8,2022-12-14 22:05:09+00:00,Hi_Larry_ious,that chicken so bland I think you have a dollop of daisy on that plate ,1036,236930,4285,5,3,0,0,16,95,7,0,0,0,1,1,0
9,2022-11-25 14:14:09+00:00,zachhomol_,ditch the bland chicken and boring workoutshybird training amp the homol cookbook be on pre - sale now link in biolet I tell you about these book ,58927,32041,74440,20,5,4,2,28,185,9,0,0,0,0,1,0
